transaction_id,processing_date,gross_amount,operator_fee,net_amount
TX_202606_00098,2026-06-02 06:35:58,748.25,14.96,733.29
TX_202606_00099,2026-06-03 22:34:51,1408.84,28.18,1380.66
TX_202606_00100,2026-06-02 10:58:24,1385.17,27.7,1357.47
TX_202606_00102,2026-06-05 01:40:41,168.13,3.36,164.77
TX_202606_00103,2026-06-01 07:38:01,55.87,1.12,54.75
TX_202606_00104,2026-06-03 22:47:06,1464.75,29.3,1435.45
TX_202606_00105,2026-06-03 00:43:52,1357.6,27.15,1330.45
TX_202606_00106,2026-06-01 07:27:34,1333.88,26.68,1307.2
TX_202606_00107,2026-06-04 20:43:14,167.49,3.35,164.14
TX_202606_00108,2026-06-02 20:23:16,1368.81,27.38,1341.43
TX_202606_00109,2026-06-05 01:20:40,234.61,4.69,229.92
TX_202606_00110,2026-06-01 22:38:39,101.44,2.03,99.41
TX_202606_00111,2026-06-03 12:02:34,1092.22,21.84,1070.38
TX_202606_00112,2026-06-03 07:17:42,1314.22,26.28,1287.94
TX_202606_00113,2026-06-04 04:44:56,1396.43,27.93,1368.5
TX_202606_00114,2026-06-05 17:00:06,626.29,12.53,613.76
TX_202606_00115,2026-06-02 14:28:30,1168.85,23.38,1145.47
TX_202606_00116,2026-06-05 14:44:04,961.65,19.23,942.42
TX_202606_00117,2026-06-04 02:18:23,395.55,7.91,387.64
TX_202606_00118,2026-06-04 16:05:25,555.49,11.11,544.38
TX_202606_00119,2026-06-02 12:13:37,174.63,3.49,171.14
TX_202606_00120,2026-06-01 15:29:56,745.54,14.91,730.63
TX_202606_00121,2026-06-03 22:49:00,1238.43,24.77,1213.66
TX_202606_00122,2026-06-05 06:13:12,636.13,12.72,623.41
TX_202606_00123,2026-06-04 16:21:17,288.05,5.76,282.29
TX_202606_00124,2026-06-05 07:53:03,1204.13,24.08,1180.05
TX_202606_00125,2026-06-05 20:44:32,746.0,14.92,731.08
TX_202606_00126,2026-06-02 11:10:55,775.84,15.52,760.32
TX_202606_00127,2026-06-03 16:11:48,1307.17,26.14,1281.03
TX_202606_00128,2026-06-03 23:31:13,501.78,10.04,491.74
TX_202606_00129,2026-06-04 03:13:08,822.14,16.44,805.7
TX_202606_00130,2026-06-04 19:34:42,299.41,5.99,293.42
TX_202606_00131,2026-06-03 21:57:14,804.74,16.09,788.65
TX_202606_00132,2026-06-02 10:15:45,474.84,9.5,465.34
TX_202606_00133,2026-06-03 18:15:19,1482.01,29.64,1452.37
TX_202606_00134,2026-06-04 22:09:40,1480.75,29.62,1451.13
TX_202606_00135,2026-06-04 04:12:18,196.81,3.94,192.87
TX_202606_00136,2026-06-03 13:49:47,371.23,7.42,363.81
TX_202606_00137,2026-06-02 15:58:18,379.37,7.59,371.78
TX_202606_00138,2026-06-05 03:38:43,836.26,16.73,819.53
TX_202606_00139,2026-06-03 09:58:44,895.64,17.91,877.73
TX_202606_00140,2026-06-04 01:50:35,353.71,7.07,346.64
TX_202606_00141,2026-06-04 04:33:20,946.82,18.94,927.88
TX_202606_00142,2026-06-05 16:29:47,772.08,15.44,756.64
TX_202606_00143,2026-06-01 06:22:42,478.31,9.57,468.74
TX_202606_00144,2026-06-02 05:22:28,684.04,13.68,670.36
TX_202606_00145,2026-06-03 06:01:00,1173.35,23.47,1149.88
TX_202606_00146,2026-06-05 06:35:47,553.65,11.07,542.58
TX_202606_00147,2026-06-03 13:01:03,1264.51,25.29,1239.22
TX_202606_00148,2026-06-04 14:28:20,902.45,18.05,884.4
TX_202606_00149,2026-06-04 18:22:13,50.86,1.02,49.84
TX_202606_00150,2026-06-03 09:51:59,1395.58,27.91,1367.67
TX_202606_00151,2026-06-04 21:55:48,1331.52,26.63,1304.89
TX_202606_00152,2026-06-02 21:04:40,1181.98,23.64,1158.34
TX_202606_00153,2026-06-04 02:33:13,858.08,17.16,840.92
TX_202606_00154,2026-06-03 08:51:11,340.47,6.81,333.66
TX_202606_00155,2026-06-04 19:39:59,1072.11,21.44,1050.67
TX_202606_00156,2026-06-01 02:45:48,1154.82,23.1,1131.72
TX_202606_00157,2026-06-03 03:58:08,514.0,10.28,503.72
TX_202606_00158,2026-06-02 03:57:19,1336.93,26.74,1310.19
TX_202606_00159,2026-06-03 17:50:22,1256.05,25.12,1230.93
TX_202606_00160,2026-06-02 15:37:20,577.01,11.54,565.47
TX_202606_00161,2026-06-02 11:23:13,35.49,0.71,34.78
TX_202606_00162,2026-06-04 12:18:02,118.65,2.37,116.28
TX_202606_00163,2026-06-01 15:32:45,1360.72,27.21,1333.51
TX_202606_00164,2026-06-05 02:03:44,901.93,18.04,883.89
TX_202606_00165,2026-06-04 20:32:40,639.61,12.79,626.82
TX_202606_00166,2026-06-02 23:20:46,1107.6,22.15,1085.45
TX_202606_00167,2026-06-04 03:17:49,228.52,4.57,223.95
TX_202606_00168,2026-06-01 01:47:40,381.91,7.64,374.27
TX_202606_00169,2026-06-01 18:28:15,701.4,14.03,687.37
TX_202606_00170,2026-06-04 07:12:36,958.8,19.18,939.62
TX_202606_00171,2026-06-05 20:31:54,80.12,1.6,78.52
TX_202606_00172,2026-06-03 23:53:04,544.76,10.9,533.86
TX_202606_00173,2026-06-04 18:44:52,1217.82,24.36,1193.46
TX_202606_00174,2026-06-03 21:18:51,1002.26,20.05,982.21
TX_202606_00175,2026-06-03 05:32:34,861.13,17.22,843.91
TX_202606_00176,2026-06-01 04:45:33,852.78,17.06,835.72
TX_202606_00177,2026-06-02 21:05:58,1463.73,29.27,1434.46
TX_202606_00178,2026-06-03 14:40:21,447.87,8.96,438.91
TX_202606_00179,2026-06-02 07:26:36,31.81,0.64,31.17
TX_202606_00180,2026-06-05 08:24:06,544.16,10.88,533.28
TX_202606_00181,2026-06-02 16:40:18,145.99,2.92,143.07
TX_202606_00182,2026-06-05 04:32:39,1387.28,27.75,1359.53
TX_202606_00183,2026-06-03 23:58:38,1228.77,24.58,1204.19
TX_202606_00184,2026-06-01 22:25:22,1084.12,21.68,1062.44
TX_202606_00185,2026-06-04 02:55:42,377.82,7.56,370.26
TX_202606_00186,2026-06-05 23:02:32,223.67,4.47,219.2
TX_202606_00187,2026-06-03 09:03:56,435.86,8.72,427.14
TX_202606_00188,2026-06-01 00:42:20,1053.89,21.08,1032.81
TX_202606_00189,2026-06-01 09:29:12,1111.15,22.22,1088.93
TX_202606_00190,2026-06-04 15:21:15,1223.89,24.48,1199.41
TX_202606_00191,2026-06-01 05:57:27,480.9,9.62,471.28
TX_202606_00192,2026-06-01 16:53:13,266.58,5.33,261.25
TX_202606_00193,2026-06-04 09:25:39,609.81,12.2,597.61
TX_202606_00194,2026-06-03 20:44:56,175.28,3.51,171.77
TX_202606_00196,2026-06-02 00:35:17,910.7,18.21,892.49
TX_202606_00197,2026-06-02 19:55:04,1017.05,20.34,996.71
TX_202606_00198,2026-06-02 06:00:10,974.54,19.49,955.05
TX_202606_00199,2026-06-04 12:59:54,290.62,5.81,284.81
TX_202606_00200,2026-06-01 19:31:51,79.91,1.6,78.31
TX_202606_00201,2026-06-01 00:24:03,421.4,8.43,412.97
TX_202606_00202,2026-06-05 15:22:14,1388.52,27.77,1360.75
TX_202606_00203,2026-06-01 11:09:30,217.4,4.35,213.05
TX_202606_00204,2026-06-01 22:28:09,1124.69,22.49,1102.2
TX_202606_00205,2026-06-02 20:38:57,1054.49,21.09,1033.4
TX_202606_00206,2026-06-01 21:57:33,757.65,15.15,742.5
TX_202606_00207,2026-06-04 13:11:35,772.36,15.45,756.91
TX_202606_00208,2026-06-03 06:21:51,650.52,13.01,637.51
TX_202606_00209,2026-06-03 03:47:57,752.91,15.06,737.85
TX_202606_00210,2026-06-02 11:13:26,770.74,15.41,755.33
TX_202606_00211,2026-06-02 07:25:59,358.59,7.17,351.42
TX_202606_00212,2026-06-04 21:57:00,1415.09,28.3,1386.79
TX_202606_00213,2026-06-02 07:25:08,1494.56,29.89,1464.67
TX_202606_00214,2026-06-02 16:58:46,254.18,5.08,249.1
TX_202606_00215,2026-06-01 11:38:55,1060.42,21.21,1039.21
TX_202606_00216,2026-06-05 07:17:55,899.39,17.99,881.4
TX_202606_00217,2026-06-01 19:52:35,632.53,12.65,619.88
TX_202606_00218,2026-06-05 06:28:14,637.45,12.75,624.7
TX_202606_00219,2026-06-05 20:01:55,1177.93,23.56,1154.37
TX_202606_00220,2026-06-04 00:55:15,106.31,2.13,104.18
TX_202606_00221,2026-06-05 21:45:33,1316.72,26.33,1290.39
TX_202606_00222,2026-06-02 18:27:38,1102.26,22.05,1080.21
TX_202606_00223,2026-06-01 09:17:10,836.83,16.74,820.09
TX_202606_00224,2026-06-04 16:11:02,1174.39,23.49,1150.9
TX_202606_00225,2026-06-02 02:20:49,788.09,15.76,772.33
TX_202606_00226,2026-06-04 03:00:32,1215.72,24.31,1191.41
TX_202606_00227,2026-06-04 14:09:44,130.24,2.6,127.64
TX_202606_00228,2026-06-04 02:14:27,480.3,9.61,470.69
TX_202606_00229,2026-06-05 23:33:41,598.64,11.97,586.67
TX_202606_00230,2026-06-03 19:21:11,1495.92,29.92,1466.0
TX_202606_00231,2026-06-03 20:34:53,811.61,16.23,795.38
TX_202606_00232,2026-06-02 09:28:44,764.38,15.29,749.09
TX_202606_00233,2026-06-05 02:51:30,915.88,18.32,897.56
TX_202606_00234,2026-06-04 18:45:43,1440.81,28.82,1411.99
TX_202606_00235,2026-06-01 21:35:33,1425.02,28.5,1396.52
TX_202606_00236,2026-06-03 18:07:26,1307.51,26.15,1281.36
TX_202606_00237,2026-06-05 19:58:10,590.74,11.81,578.93
TX_202606_00238,2026-06-01 20:30:53,402.73,8.05,394.68
TX_202606_00239,2026-06-02 04:21:11,1263.26,25.27,1237.99
TX_202606_00240,2026-06-04 00:48:45,554.68,11.09,543.59
TX_202606_00241,2026-06-03 20:01:24,545.97,10.92,535.05
TX_202606_00242,2026-06-03 09:01:25,338.18,6.76,331.42
TX_202606_00243,2026-06-03 10:15:09,958.38,19.17,939.21
TX_202606_00244,2026-06-05 21:46:01,1024.52,20.49,1004.03
TX_202606_00245,2026-06-05 01:34:33,256.73,5.13,251.6
TX_202606_00246,2026-06-03 20:19:22,318.57,6.37,312.2
TX_202606_00247,2026-06-03 03:05:49,505.48,10.11,495.37
TX_202606_00248,2026-06-04 14:54:30,829.33,16.59,812.74
TX_202606_00249,2026-06-05 14:01:10,463.18,9.26,453.92
TX_202606_00250,2026-06-03 12:32:38,246.79,4.94,241.85
TX_202606_00251,2026-06-03 12:07:07,389.16,7.78,381.38
TX_202606_00252,2026-06-05 14:13:39,367.18,7.34,359.84
TX_202606_00254,2026-06-02 04:50:46,319.54,6.39,313.15
TX_202606_00255,2026-06-05 05:38:57,785.04,15.7,769.34
TX_202606_00256,2026-06-05 21:42:58,77.83,1.56,76.27
TX_202606_00257,2026-06-02 08:14:36,942.79,18.86,923.93
TX_202606_00258,2026-06-04 23:30:48,1381.46,27.63,1353.83
TX_202606_00259,2026-06-04 17:30:32,270.97,5.42,265.55
TX_202606_00260,2026-06-05 20:03:42,718.58,14.37,704.21
TX_202606_00261,2026-06-05 18:56:20,1396.45,27.93,1368.52
TX_202606_00262,2026-06-05 18:24:57,549.03,10.98,538.05
TX_202606_00263,2026-06-01 09:31:13,201.72,4.03,197.69
TX_202606_00263,2026-06-01 09:31:13,201.72,4.03,197.69
TX_202606_00264,2026-06-02 15:08:46,104.35,2.09,102.26
TX_202606_00265,2026-06-01 11:33:27,1424.86,28.5,1396.36
TX_202606_00266,2026-06-02 09:19:21,19.57,0.39,19.18
TX_202606_00267,2026-06-03 21:09:00,373.47,7.47,366.0
TX_202606_00268,2026-06-01 22:11:46,476.17,9.52,466.65
TX_202606_00269,2026-06-03 12:28:48,103.07,2.06,101.01
TX_202606_00270,2026-06-01 16:21:42,1297.66,25.95,1271.71
TX_202606_00271,2026-06-04 21:07:41,1315.73,26.31,1289.42
TX_202606_00272,2026-06-02 17:22:24,140.3,2.81,137.49
TX_202606_00273,2026-06-02 11:06:57,983.63,19.67,963.96
TX_202606_00274,2026-06-05 23:55:54,341.92,6.84,335.08
TX_202606_00275,2026-06-02 07:36:32,1364.2,27.28,1336.92
TX_202606_00276,2026-06-02 05:32:35,1140.02,22.8,1117.22
TX_202606_00277,2026-06-04 06:17:56,474.92,9.5,465.42
TX_202606_00278,2026-06-01 16:38:51,948.08,18.96,929.12
TX_202606_00279,2026-06-02 12:42:49,801.06,16.02,785.04
TX_202606_00280,2026-06-02 03:44:57,134.51,2.69,131.82
TX_202606_00281,2026-06-05 17:42:58,438.16,8.76,429.4
TX_202606_00282,2026-06-03 05:58:08,745.45,14.91,730.54
TX_202606_00283,2026-06-02 22:48:42,1173.53,23.47,1150.06
TX_202606_00284,2026-06-04 13:20:59,1041.98,20.84,1021.14
TX_202606_00285,2026-06-03 17:54:50,569.61,11.39,558.22
TX_202606_00286,2026-06-02 09:40:14,1021.92,20.44,1001.48
TX_202606_00287,2026-06-03 06:15:34,286.2,5.72,280.48
TX_202606_00288,2026-06-05 17:57:03,898.88,17.98,880.9
TX_202606_00289,2026-06-01 00:59:17,1341.11,26.82,1314.29
TX_202606_00290,2026-06-02 06:05:16,1072.96,21.46,1051.5
TX_202606_00291,2026-06-05 19:27:20,615.56,12.31,603.25
TX_202606_00292,2026-06-05 23:13:27,1373.14,27.46,1345.68
TX_202606_00293,2026-06-02 22:50:55,795.23,15.9,779.33
TX_202606_00294,2026-06-02 17:02:20,1490.35,29.81,1460.54
TX_202606_00295,2026-06-05 15:11:27,139.77,2.8,136.97
TX_202606_00296,2026-06-04 15:31:50,297.56,5.95,291.61
TX_202606_00297,2026-06-01 12:03:11,1036.27,20.73,1015.54
TX_202606_00298,2026-06-04 11:49:37,145.86,2.92,142.94
TX_202606_00299,2026-06-01 19:45:07,871.05,17.42,853.63
TX_202606_00300,2026-06-04 17:42:41,644.75,12.89,631.86
TX_202606_00301,2026-06-01 10:25:12,238.73,4.77,233.96
TX_202606_00302,2026-06-04 07:57:16,748.5,18.71,729.79
TX_202606_00303,2026-06-04 06:16:47,601.54,12.03,589.51
TX_202606_00304,2026-06-02 06:00:09,908.1,18.16,889.94
TX_202606_00305,2026-06-02 04:43:02,579.99,11.6,568.39
TX_202606_00306,2026-06-04 23:26:18,1166.67,23.33,1143.34
TX_202606_00307,2026-06-01 11:19:56,612.09,12.24,599.85
TX_202606_00308,2026-06-01 16:33:21,985.44,19.71,965.73
TX_202606_00309,2026-06-05 23:49:09,689.9,13.8,676.1
TX_202606_00310,2026-06-05 20:51:44,1106.6,22.13,1084.47
TX_202606_00311,2026-06-04 05:10:52,1146.65,22.93,1123.72
TX_202606_00312,2026-06-03 10:06:18,205.42,4.11,201.31
TX_202606_00313,2026-06-04 14:10:56,323.42,6.47,316.95
TX_202606_00314,2026-06-04 11:54:59,518.15,10.36,507.79
TX_202606_00315,2026-06-03 18:34:04,803.29,16.07,787.22
TX_202606_00316,2026-06-05 17:43:33,966.91,19.34,947.57
TX_202606_00318,2026-06-05 02:54:01,804.56,16.09,788.47
TX_202606_00319,2026-06-01 16:16:59,114.0,2.28,111.72
TX_202606_00320,2026-06-01 05:26:54,186.9,3.74,183.16
TX_202606_00321,2026-06-01 10:06:25,476.98,9.54,467.44
TX_202606_00322,2026-06-05 04:09:51,1165.89,23.32,1142.57
TX_202606_00323,2026-06-05 22:04:37,582.28,11.65,570.63
TX_202606_00324,2026-06-01 23:33:01,606.38,12.13,594.25
TX_202606_00325,2026-06-03 09:23:16,699.67,13.99,685.68
TX_202606_00326,2026-06-01 05:37:01,1386.22,27.72,1358.5
TX_202606_00327,2026-06-02 22:43:10,56.42,1.13,55.29
TX_202606_00328,2026-06-04 00:23:17,729.63,14.59,715.04
TX_202606_00329,2026-06-04 23:12:45,1011.8,20.24,991.56
TX_202606_00330,2026-06-01 14:25:12,1216.07,24.32,1191.75
TX_202606_00331,2026-06-01 05:11:13,1164.1,23.28,1140.82
TX_202606_00332,2026-06-04 19:08:49,1093.74,21.87,1071.87
TX_202606_00333,2026-06-04 00:14:55,968.79,19.38,949.41
TX_202606_00334,2026-06-04 00:59:55,1124.86,22.5,1102.36
TX_202606_00335,2026-06-01 05:15:12,536.11,10.72,525.39
TX_202606_00336,2026-06-02 15:58:22,570.12,11.4,558.72
TX_202606_00337,2026-06-05 10:21:19,386.85,7.74,379.11
TX_202606_00338,2026-06-01 21:47:23,539.19,10.78,528.41
TX_202606_00339,2026-06-02 21:58:16,554.96,11.1,543.86
TX_202606_00340,2026-06-04 10:53:32,1209.08,24.18,1184.9
TX_202606_00341,2026-06-04 22:17:48,124.28,2.49,121.79
TX_202606_00342,2026-06-05 10:25:18,833.55,16.67,816.88
TX_202606_00343,2026-06-01 13:12:39,662.22,13.24,648.98
TX_202606_00344,2026-06-05 09:00:42,632.26,12.65,619.61
TX_202606_00345,2026-06-05 13:07:27,1495.07,29.9,1465.17
TX_202606_00346,2026-06-05 14:56:26,692.79,13.86,678.93
TX_202606_00347,2026-06-04 22:04:48,1149.43,22.99,1126.44
TX_202606_00348,2026-06-05 18:06:41,628.6,12.57,616.03
TX_202606_00349,2026-06-04 22:39:36,247.96,4.96,243.0
TX_202606_00350,2026-06-03 16:05:19,206.25,4.12,202.13
TX_202606_00351,2026-06-04 22:52:55,905.23,18.1,887.13
TX_202606_00352,2026-06-03 19:20:41,403.59,8.07,395.52
TX_202606_00353,2026-06-04 02:59:33,594.99,11.9,583.09
TX_202606_00354,2026-06-03 10:58:26,1145.45,22.91,1122.54
TX_202606_00355,2026-06-05 10:06:56,544.01,10.88,533.13
TX_202606_00356,2026-06-02 15:01:15,1091.9,21.84,1070.06
TX_202606_00357,2026-06-04 23:16:58,1310.01,26.2,1283.81
TX_202606_00358,2026-06-03 04:20:00,326.35,6.53,319.82
TX_202606_00359,2026-06-05 18:08:40,840.84,16.82,824.02
TX_202606_00360,2026-06-04 06:20:27,1388.91,27.78,1361.13
TX_202606_00361,2026-06-03 08:11:11,510.4,10.21,500.19
TX_202606_00362,2026-06-02 12:56:54,25.02,0.5,24.52
TX_202606_00363,2026-06-04 14:20:56,464.29,9.29,455.0
TX_202606_00364,2026-06-03 12:12:23,606.26,12.13,594.13
TX_202606_00365,2026-06-04 10:45:34,185.14,3.7,181.44
TX_202606_00366,2026-06-03 23:32:14,436.22,8.72,427.5
TX_202606_00367,2026-06-01 02:47:02,450.73,9.01,441.72
TX_202606_00368,2026-06-03 08:35:26,540.36,10.81,529.55
TX_202606_00369,2026-06-05 19:42:44,1176.59,23.53,1153.06
TX_202606_00370,2026-06-03 10:53:40,584.91,11.7,573.21
TX_202606_00371,2026-06-04 08:55:01,42.63,0.85,41.78
TX_202606_00372,2026-06-05 23:16:51,312.91,6.26,306.65
TX_202606_00373,2026-06-04 01:17:19,976.77,19.54,957.23
TX_202606_00374,2026-06-03 22:41:27,1259.04,25.18,1233.86
TX_202606_00375,2026-06-02 04:11:31,91.77,1.84,89.93
TX_202606_00376,2026-06-05 12:03:21,251.1,5.02,246.08
TX_202606_00377,2026-06-05 12:00:37,1453.2,29.06,1424.14
TX_202606_00378,2026-06-04 21:55:17,847.86,16.96,830.9
TX_202606_00379,2026-06-04 04:07:30,537.97,10.76,527.21
TX_202606_00380,2026-06-05 19:36:55,583.04,14.58,568.46
TX_202606_00381,2026-06-05 17:44:43,746.21,14.92,731.29
TX_202606_00382,2026-06-04 00:58:59,750.65,15.01,735.64
TX_202606_00383,2026-06-03 03:11:20,962.34,19.25,943.09
TX_202606_00384,2026-06-05 03:20:26,104.51,2.09,102.42
TX_202606_00384,2026-06-05 03:20:26,104.51,2.09,102.42
TX_202606_00385,2026-06-03 18:28:12,1221.79,24.44,1197.35
TX_202606_00386,2026-06-01 12:53:13,1035.21,20.7,1014.51
TX_202606_00387,2026-06-03 13:07:10,1105.04,22.1,1082.94
TX_202606_00388,2026-06-02 18:24:20,425.15,8.5,416.65
TX_202606_00389,2026-06-03 09:01:59,912.35,18.25,894.1
TX_202606_00390,2026-06-03 10:15:47,1076.01,21.52,1054.49
TX_202606_00391,2026-06-02 16:10:04,1407.16,28.14,1379.02
TX_202606_00392,2026-06-01 19:07:33,789.73,15.79,773.94
TX_202606_00393,2026-06-04 21:55:33,101.47,2.03,99.44
TX_202606_00394,2026-06-04 22:44:25,886.68,17.73,868.95
TX_202606_00395,2026-06-05 22:19:10,81.12,1.62,79.5
TX_202606_00396,2026-06-03 13:33:07,371.37,7.43,363.94
TX_202606_00397,2026-06-02 07:04:36,1266.15,25.32,1240.83
TX_202606_00398,2026-06-01 13:26:25,1463.57,29.27,1434.3
TX_202606_00399,2026-06-02 05:24:28,545.43,10.91,534.52
TX_202606_00400,2026-06-02 12:08:08,148.78,2.98,145.8
TX_202606_00401,2026-06-05 17:13:24,309.37,6.19,303.18
TX_202606_00402,2026-06-04 16:13:30,1456.83,29.14,1427.69
TX_202606_00403,2026-06-01 05:54:24,686.77,13.74,673.03
TX_202606_00404,2026-06-03 08:18:28,1029.7,20.59,1009.11
